"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1675","Normal/Others","WS/MP084/2024-2025/38076-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road works, Hesaraghatta, Yelahanka Taluk, Bangalore Urban","18-Oct-2023","499095","18-Sep-2024"
"1676","Normal/Others","WS/MP084/2024-2025/38082-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road works, Rajanukunte Village, Yelahanka Taluk, Banglore Urban","18-Oct-2023","499096","29-Jun-2024"
"1677","Normal/Others","WS/MP084/2024-2025/38083-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road Works, Ward No.6, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Banglaore Urban","18-Oct-2023","499000","29-Jun-2024"
"1678","Normal/Others","WS/MP084/2024-2025/38084-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road Works, Ward No.6, Hesaraghatta Grama Panchayat, Yelhanka Taluk, Bangalore Urban","18-Oct-2023","498452","27-Jun-2024"
"1679","Normal/Others","WS/MP084/2024-2025/38085-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road works, Ward No.6, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Banglore Urban","18-Oct-2023","499095","27-Jun-2024"
"1680","Normal/Others","WS/MP084/2024-2025/38086-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road works, Kodagi Thirumalapura Village, Hurulichikkanahalli Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","18-Oct-2023","499000","27-Jun-2024"
"1681","Normal/Others","WS/MP084/2024-2025/38103-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","18-Oct-2023","499223","29-Jun-2024"
"1682","Normal/Others","WS/MP084/2024-2025/38104-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road Works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","18-Oct-2023","499200","29-Jun-2024"
"1683","Normal/Others","WS/MP084/2024-2025/38105-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","18-Oct-2023","499200","29-Jun-2024"
"1684","Normal/Others","WS/MP084/2024-2025/38106-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road work, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","18-Oct-2023","498200","29-Jun-2024"
"1685","Normal/Others","WS/MP084/2024-2025/38107-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","18-Oct-2023","498227","29-Jun-2024"
"1686","Normal/Others","WS/MP015/2023-2024/38245-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Kamarajar 1st Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","996399","12-Dec-2023"
"1687","Normal/Others","WS/MP015/2023-2024/38246-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Raja Veethi North  side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","997304","12-Dec-2023"
"1688","Normal/Others","WS/MP015/2023-2024/38247-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Abdulkalam Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","998161","12-Dec-2023"
"1689","Normal/Others","WS/MP015/2023-2024/38248-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at V.T.Mani Nagar main road  East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","996608","12-Dec-2023"
"1690","Normal/Others","WS/MP015/2023-2024/38249-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Sanathi Street  in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","996313","12-Dec-2023"
"1691","Normal/Others","WS/MP015/2023-2024/38250-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Kamarajar 1st Street West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","996399","12-Dec-2023"
"1692","Normal/Others","WS/MP015/2023-2024/38251-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Krishna 1st Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","996539","14-Feb-2024"
"1693","Normal/Others","WS/MP015/2023-2024/38252-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at V.T.Mani Nagar Main road West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","996215","12-Dec-2023"
"1694","Normal/Others","WS/MP015/2023-2024/38253-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Abdulkalam Street West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","997401","12-Dec-2023"
"1695","Normal/Others","WS/MP015/2023-2024/38254-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Raja Veethi South side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","18-Oct-2023","998320","12-Dec-2023"
"1696","Normal/Others","WS/MP015/2023-2024/38305-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Krishan Nathi Street South side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","996580","12-Dec-2023"
"1697","Normal/Others","WS/MP015/2023-2024/38306-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Bankers Colony Street East side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","995954","12-Dec-2023"
"1698","Normal/Others","WS/MP015/2023-2024/38307-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Vaigai Nathi Street South side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","996759","12-Dec-2023"
"1699","Normal/Others","WS/MP015/2023-2024/38308-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Fifth Street North side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","996440","12-Dec-2023"
"1700","Normal/Others","WS/MP015/2023-2024/38309-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Fourth Street North side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","995838","12-Dec-2023"
"1701","Normal/Others","WS/MP015/2023-2024/38310-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Krishan Nathi Street North side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","996021","12-Dec-2023"
"1702","Normal/Others","WS/MP015/2023-2024/38311-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Bankers Colony Street West side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","997704","12-Dec-2023"
"1703","Normal/Others","WS/MP015/2023-2024/38312-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Vaigai Nathi Street North side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","996020","12-Dec-2023"
"1704","Normal/Others","WS/MP015/2023-2024/38313-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Fifth Street South side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","996776","12-Dec-2023"
"1705","Normal/Others","WS/MP015/2023-2024/38314-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Fourth Street South side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","18-Oct-2023","996852","12-Dec-2023"
"1706","Normal/Others","WS/MP015/2023-2024/38333-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Krishna 1st & 2nd Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","18-Oct-2023","997639","12-Dec-2023"
"1707","Normal/Others","WS/MP015/2023-2024/38334-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Sannathi 1st Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","18-Oct-2023","996672","12-Dec-2023"
"1708","Normal/Others","WS/MP015/2023-2024/38335-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Surya Nagar 9st Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","18-Oct-2023","997398","12-Dec-2023"
"1709","Normal/Others","WS/MP015/2023-2024/38336-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Annai Therasa Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","18-Oct-2023","997690","12-Dec-2023"
"1710","Normal/Others","WS/MP015/2023-2024/38337-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Gandhi Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","18-Oct-2023","997143","12-Dec-2023"
"1711","Normal/Others","WS/MP140/2023-2024/38348-Lighting of public spaces","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Regarding Floods Lights (For stadium) to Sports Stadium VPO Gursar Sadhar, Patti Gill Distt. LDH","18-Oct-2023","300000","20-Nov-2023"
"1712","Normal/Others","WS/MP140/2023-2024/38350-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Regarding For Interlocks on surrounding area of Sports Stadium to VPO Gursar Sadhar, Patti Gill Distt. LDH","18-Oct-2023","200000","20-Nov-2023"
"1713","Normal/Others","WS/MP015/2023-2024/38360-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Natham NH road to Kirama Savadi road in Chinnapatti Village,Madurai (Dt).2023-24","18-Oct-2023","996241","12-Dec-2023"
"1714","Normal/Others","WS/MP015/2023-2024/38361-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Chatrapatti Main road to Murali House in Chinnapatti Village,Madurai (Dt).2023-24","18-Oct-2023","998022","12-Dec-2023"
"1715","Normal/Others","WS/MP015/2023-2024/38362-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at 1st & 2nd Cross Street in  Annai Velu Nagar,Karuvanur Village,Madurai (Dt).2023-24","18-Oct-2023","997042","12-Dec-2023"
"1716","Normal/Others","WS/MP015/2023-2024/38363-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at 3st & 4nd Cross Street in  Annai Velu Nagar,Karuvanur Village,Madurai (Dt).2023-24","18-Oct-2023","995827","12-Dec-2023"
"1717","Normal/Others","WS/MP015/2023-2024/38364-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Kirama Savadi road to Murali House in Chinnapatti Village,Madurai (Dt).2023-24","18-Oct-2023","996792","12-Dec-2023"
"1718","Normal/Others","WS/MP015/2023-2024/38373-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Andal Street East Side in Venkatachalapathy Nagar,Thuvariman,Madurai.2023-24","18-Oct-2023","996561","12-Dec-2023"
"1719","Normal/Others","WS/MP015/2023-2024/38374-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Srinivasan Street in Venkatachalapathy Nagar,Thuvariman,Madurai.2023-24","18-Oct-2023","997868","12-Dec-2023"
"1720","Normal/Others","WS/MP015/2023-2024/38375-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Andal Street West Side in Venkatachalapathy Nagar,Thuvariman,Madurai.2023-24","18-Oct-2023","996778","12-Dec-2023"
"1721","Normal/Others","WS/MP015/2023-2024/38376-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Cross Street in Srinivasan Street in Venkatachalapathy Nagar,Thuvariman,Madurai.2023-24","18-Oct-2023","996990","12-Dec-2023"
"1722","Normal/Others","WS/MP015/2023-2024/38377-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Ragunathan Street in Venkatachalapathy Nagar,Thuvariman,Madurai.2023-24","18-Oct-2023","998240","12-Dec-2023"
"1723","Normal/Others","WS/MP015/2023-2024/38378-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Providing Bituminous Macadam road at Pathmanathan Street in Venkatachalapathy Nagar,Thuvariman,Madurai.2023-24","18-Oct-2023","998016","12-Dec-2023"
"1724","Normal/Others","WS/MP084/2024-2025/38396-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road Development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","499400","02-Jul-2024"
"1725","Normal/Others","WS/MP084/2024-2025/38397-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","499300","02-Jul-2024"
"1726","Normal/Others","WS/MP084/2024-2025/38398-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohali Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban","18-Oct-2023","499000","02-Jul-2024"
"1727","Normal/Others","WS/MP084/2024-2025/38399-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","499000","02-Jul-2024"
"1728","Normal/Others","WS/MP084/2024-2025/38400-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","499200","02-Jul-2024"
"1729","Normal/Others","WS/MP084/2024-2025/38413-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","499210","24-Sep-2024"
"1730","Normal/Others","WS/MP084/2024-2025/38414-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Banalore North Taluk, Bangalore Urban.","18-Oct-2023","499429","24-Sep-2024"
"1731","Normal/Others","WS/MP084/2024-2025/38415-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C.Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","499420","24-Sep-2024"
"1732","Normal/Others","WS/MP084/2024-2025/38416-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Road Development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","499420","24-Sep-2024"
"1733","Normal/Others","WS/MP084/2024-2025/38417-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","499400","24-Sep-2024"
"1734","Normal/Others","WS/MP084/2024-2025/38465-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","476119","02-Jul-2024"
"1735","Normal/Others","WS/MP084/2024-2025/38466-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North, Bangalore Urban.","19-Oct-2023","499000","02-Jul-2024"
"1736","Normal/Others","WS/MP084/2024-2025/38467-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","499327","02-Jul-2024"
"1737","Normal/Others","WS/MP140/2023-2024/38486-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kakkar Kalan. 2mm stainless sheet AISI 304 Material etc. (SC)","19-Oct-2023","336300","09-Feb-2024"
"1738","Normal/Others","WS/MP078/2023-2024/38523-Purchase of books for public libraries/ digitization of library books","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28)","Sitting Rajya Sabha","Purchase of Books of Thiry (30) GSSS, Schools of District Kangra located in Urban and Rural areas","19-Oct-2023","2998440","27-Oct-2023"
"1739","Normal/Others","WS/MP084/2024-2025/38614-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","499400","22-Nov-2024"
"1740","Normal/Others","WS/MP084/2024-2025/38615-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","491134","22-Nov-2024"
"1741","Normal/Others","WS/MP084/2024-2025/38616-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","499400","22-Nov-2024"
"1742","Normal/Others","WS/MP084/2024-2025/38617-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","491134","22-Nov-2024"
